symbol,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,netIncome,grossMargin,operatingMargin,netMargin
GOOGL,2022-09-30,69092000000,37934000000,17135000000,13910000000,0.5490360678515602,0.24800266311584554,0.20132576854049672
GOOGL,2022-06-30,69685000000,39581000000,19453000000,16002000000,0.5679988519767525,0.279156202913109,0.22963335007533903
GOOGL,2022-03-31,68011000000,38412000000,20094000000,16436000000,0.5647909896928438,0.2954522062607519,0.24166678919586537
GOOGL,2021-12-31,75325000000,42337000000,21885000000,20642000000,0.5620577497510787,0.290540989047461,0.2740391636242947
GOOGL,2021-09-30,65118000000,37497000000,21031000000,18936000000,0.5758315673085783,0.3229675358579809,0.290795171841887
GOOGL,2021-06-30,61880000000,35653000000,19361000000,18525000000,0.5761635423400129,0.312879767291532,0.29936974789915966
GOOGL,2021-03-31,55314000000,31211000000,16437000000,17930000000,0.5642513649347363,0.2971580431717106,0.32414940159814876
GOOGL,2020-12-31,56898000000,30818000000,15651000000,15227000000,0.5416359098738093,0.27507118000632713,0.26761924847973567
GOOGL,2020-09-30,46173000000,25056000000,11213000000,11247000000,0.5426547982587226,0.24284755159941956,0.24358391267623936
GOOGL,2020-06-30,38297000000,19744000000,6383000000,6959000000,0.5155495208501971,0.1666710186176463,0.1817113612032274
GOOGL,2020-03-31,41159000000,22177000000,7977000000,6836000000,0.538812896328871,0.1938093734055735,0.16608761145800433
GOOGL,2019-12-31,46075000000,25055000000,9266000000,10671000000,0.543787303309821,0.20110689093868692,0.23160065111231687
GOOGL,2019-09-30,40499000000,22931000000,9177000000,7068000000,0.5662115113953431,0.2265981876095706,0.17452282772414135
GOOGL,2019-06-30,38944000000,21648000000,9180000000,9947000000,0.5558751027115859,0.23572308956450289,0.2554180361544782
GOOGL,2019-03-31,36339000000,20327000000,6608000000,6657000000,0.5593714741737528,0.18184319876716476,0.18319161231734502
GOOGL,2018-12-31,39276000000,21358000000,8203000000,8948000000,0.5437926469090538,0.2088552805784703,0.22782360729198492
GOOGL,2018-09-30,33740000000,19459000000,8625000000,9192000000,0.5767338470657972,0.2556312981624185,0.2724362774155305
GOOGL,2018-06-30,32657000000,18774000000,3045000000,3195000000,0.5748844045686989,0.09324187769850262,0.09783507364424167
GOOGL,2018-03-31,31146000000,17679000000,7633000000,9401000000,0.5676170294740898,0.24507159827907277,0.30183651191164196
GOOGL,2017-12-31,32323000000,18056000000,7664000000,-3020000000,0.5586115150202642,0.23710670420443647,-0.09343192154193608
GOOGL,2017-09-30,27772000000,16624000000,7782000000,6732000000,0.5985885064093331,0.28021028373901774,0.2424024197032983
GOOGL,2017-06-30,26010000000,15637000000,4132000000,3524000000,0.6011918492887351,0.15886197616301423,0.13548635140330642
GOOGL,2017-03-31,24750000000,14955000000,6568000000,5426000000,0.6042424242424242,0.2653737373737374,0.21923232323232322
GOOGL,2016-12-31,26064000000,15403000000,6639000000,5333000000,0.5909683855125845,0.25471915285451197,0.20461172498465316
GOOGL,2016-09-30,22451000000,13752000000,5767000000,5061000000,0.6125339628524342,0.2568705180170148,0.22542425727139104
GOOGL,2016-06-30,21500000000,13370000000,5968000000,4877000000,0.621860465116279,0.2775813953488372,0.2268372093023256
GOOGL,2016-03-31,20257000000,12609000000,5342000000,4207000000,0.6224514982475193,0.2637113096707311,0.2076812953546922
GOOGL,2015-12-31,21329000000,13141000000,5380000000,4923000000,0.6161095222467063,0.25223873599324864,0.23081250879084814
GOOGL,2015-09-30,18675000000,11638000000,4708000000,3979000000,0.623186077643909,0.2521017402945114,0.21306559571619813
GOOGL,2015-06-30,17727000000,11144000000,4825000000,3931000000,0.6286455689061883,0.2721836746206352,0.22175212951994133
GOOGL,2015-03-31,17258000000,10902000000,4447000000,3515000000,0.6317070344188203,0.2576775987947619,0.20367365859311623
GOOGL,2014-12-31,18103000000,11182000000,4399000000,4757000000,0.6176876760757886,0.2429983980555709,0.26277412583549686
GOOGL,2014-09-30,16523000000,9828000000,3724000000,2739000000,0.5948072383949646,0.22538279973370454,0.16576892816074562
GOOGL,2014-06-30,15955000000,9841000000,4258000000,3351000000,0.6167972422438107,0.26687558759009716,0.21002820432466313
GOOGL,2014-03-31,15420000000,9459000000,4115000000,3452000000,0.6134241245136187,0.26686121919584954,0.2238651102464332
GOOGL,2013-12-31,16858000000,9420000000,3922000000,3376000000,0.5587851465179736,0.23264918732945783,0.2002610036777791
GOOGL,2013-09-30,13754000000,8345000000,3761000000,2970000000,0.6067325868838156,0.27344772429838593,0.21593718191071687
GOOGL,2013-06-30,13107000000,7912000000,3465000000,3228000000,0.6036469062333104,0.2643625543602655,0.24628061341268026
GOOGL,2013-03-31,12951000000,7815000000,3748000000,3346000000,0.6034283066944638,0.28939850204617407,0.2583584279206239
GOOGL,2012-12-31,13215000000,7937000000,3432000000,2886000000,0.6006053726825576,0.2597048808172531,0.21838819523269012
GOOGL,2012-09-30,13304000000,7349000000,2740000000,2176000000,0.5523902585688515,0.20595309681298857,0.1635598316295851
GOOGL,2012-06-30,11807000000,7130000000,3237000000,2785000000,0.6038790547980012,0.27415939696790037,0.2358770221055306
GOOGL,2012-03-31,10645000000,6856000000,3389000000,2890000000,0.6440582433067168,0.3183654297792391,0.271488961953969
GOOGL,2011-12-31,10583000000,6880000000,3507000000,2704000000,0.6500992157233298,0.3313805159217613,0.2555041103656808
GOOGL,2011-09-30,9720000000,6342000000,3058000000,2729000000,0.6524691358024691,0.3146090534979424,0.280761316872428
GOOGL,2011-06-30,9026000000,5854000000,2881000000,2505000000,0.6485707954797253,0.31918900952803014,0.27753157544870377
GOOGL,2011-03-31,8575000000,5639000000,2296000000,1798000000,0.6576093294460641,0.2677551020408163,0.2096793002915452
GOOGL,2010-12-31,8440000000,5494000000,2982000000,2543000000,0.6509478672985782,0.3533175355450237,0.301303317535545
GOOGL,2010-09-30,7286000000,4734000000,2547000000,2167000000,0.6497392259127093,0.34957452648915727,0.2974197090310184
GOOGL,2010-06-30,6820000000,4353000000,2365000000,1840000000,0.6382697947214077,0.3467741935483871,0.2697947214076246
GOOGL,2010-03-31,6775000000,4323000000,2488000000,1955000000,0.6380811808118081,0.3672324723247232,0.28856088560885607
GOOGL,2009-12-31,6673863000,4265463000,2480983000,1974100000,0.6391295416163023,0.37174616859830656,0.29579570332804256
GOOGL,2009-09-30,5945000000,3719000000,2074000000,1639000000,0.6255677039529016,0.3488645920941968,0.2756938603868797
GOOGL,2009-06-30,5523000000,3415000000,1874000000,1485000000,0.6183233749773673,0.3393083469129097,0.2688756110809343
GOOGL,2009-03-31,5509000000,3407000000,1884000000,1423000000,0.6184425485569068,0.34198584135051735,0.2583045924850245
GOOGL,2008-12-31,5700950000,3510945000,1860205000,382442000,0.6158526210543857,0.32629737149071647,0.06708390706812023
GOOGL,2008-09-30,5541400000,3368010000,1647565000,1289938000,0.6077904500667701,0.29731926949868265,0.23278196845562493
GOOGL,2008-06-30,5367200000,3219625000,1577965000,1247391000,0.5998705097630049,0.29400152779847966,0.23241000894321062
GOOGL,2008-03-31,5186000000,3075464000,1546235000,1307086000,0.5930320092556884,0.2981556112610875,0.2520412649440802
GOOGL,2007-12-31,4826686000,2870862000,1440734000,1206449000,0.5947894683847261,0.29849341763686305,0.24995390211834786
GOOGL,2007-09-30,4231400000,2568821000,1317842000,1069989000,0.6070853618187834,0.31144349387909437,0.25286879047123884
GOOGL,2007-06-30,3872000000,2311745000,1104615000,925120000,0.5970415805785124,0.2852827995867769,0.23892561983471075
GOOGL,2007-03-31,3664000000,2193574000,1221209000,1002162000,0.5986828602620088,0.3332993995633188,0.27351582969432314
GOOGL,2006-12-31,3205498000,1922350000,1060594000,1030717000,0.5997040085503095,0.3308671538712549,0.32154660523887396
GOOGL,2006-09-30,2689700000,1640972000,931331000,733361000,0.6100948061122058,0.34625831877161023,0.27265531471911364
GOOGL,2006-06-30,2456000000,1466968000,815372000,721077000,0.597299674267101,0.33199185667752446,0.2935981270358306
GOOGL,2006-03-31,2253800000,1349681000,742699000,592291000,0.5988468364539888,0.32953190167716745,0.2627966101694915
GOOGL,2005-12-31,1919092000,1143711000,569639000,372208000,0.5959646541176765,0.2968273537693868,0.19395005554710248
GOOGL,2005-09-30,1578456000,923302000,529171000,381182000,0.5849399666509552,0.33524596187666933,0.24149041848489916
NVDA,2025-10-31,57006000000,41849000000,36010000000,31910000000,0.7341157071185489,0.6316878925025436,0.5597656387046978
NVDA,2025-07-31,46743000000,33853000000,28440000000,26422000000,0.724236784117408,0.6084333483088377,0.5652611086151937
NVDA,2025-04-30,44062000000,26668000000,21638000000,18775000000,0.6052380736235304,0.49108074985248057,0.4261041260042667
NVDA,2025-01-31,39331000000,28723000000,24034000000,22091000000,0.7302890849457171,0.6110701482291322,0.5616689125626096
NVDA,2024-10-31,35082000000,26156000000,21869000000,19309000000,0.7455675275069836,0.6233681090017673,0.550396214582977
NVDA,2024-07-31,30040000000,22574000000,18642000000,16599000000,0.7514647137150466,0.620572569906791,0.5525632490013316
NVDA,2024-04-30,26044000000,20406000000,16909000000,14881000000,0.7835201965903855,0.6492474274305022,0.5713792044232837
NVDA,2024-01-31,22103000000,16791000000,13614000000,12285000000,0.759670632945754,0.6159344885309687,0.5558069040401755
NVDA,2023-10-31,18120000000,13400000000,10417000000,9243000000,0.739514348785872,0.5748896247240618,0.5100993377483444
NVDA,2023-07-31,13507000000,9462000000,6800000000,6188000000,0.7005256533649219,0.5034426593618124,0.45813282001924927
NVDA,2023-04-30,7192000000,4648000000,2140000000,2043000000,0.646273637374861,0.2975528364849833,0.2840656284760845
NVDA,2023-01-31,6051000000,3833000000,1256000000,1414000000,0.6334490166914559,0.20756899686002314,0.2336803834077012
NVDA,2022-10-31,5931000000,3177000000,601000000,680000000,0.5356600910470409,0.10133198448828191,0.114651829371101
NVDA,2022-07-31,6704000000,2915000000,499000000,656000000,0.4348150357995227,0.07443317422434367,0.09785202863961814
NVDA,2022-04-30,8288000000,5431000000,1868000000,1618000000,0.655284749034749,0.22538610038610038,0.19522200772200773
NVDA,2022-01-31,7643000000,4999000000,2970000000,3003000000,0.6540625408870863,0.3885908674604213,0.3929085437655371
NVDA,2021-10-31,7103000000,4631000000,2671000000,2464000000,0.6519780374489652,0.3760382936787273,0.3468956778825848
NVDA,2021-07-31,6507000000,4215000000,2444000000,2374000000,0.6477639465191333,0.3755955125249731,0.3648378669125557
NVDA,2021-04-30,5661000000,3629000000,1956000000,1912000000,0.6410528175234057,0.3455219925808161,0.33774951422010246
NVDA,2021-01-31,5003000000,3156000000,1507000000,1457000000,0.6308215070957426,0.30121926843893665,0.29122526484109534
NVDA,2020-10-31,4726000000,2960000000,1398000000,1336000000,0.6263224714346171,0.2958104104951333,0.28269149386373255
NVDA,2020-07-31,3866000000,2275000000,651000000,622000000,0.5884635281945163,0.16839110191412313,0.16088980858768753
NVDA,2020-04-30,3080000000,2004000000,976000000,917000000,0.6506493506493507,0.3168831168831169,0.29772727272727273
NVDA,2020-01-31,3105000000,2015000000,990000000,951000000,0.6489533011272142,0.3188405797101449,0.30628019323671496
NVDA,2019-10-31,3014000000,1916000000,927000000,899000000,0.6357000663570007,0.30756469807564696,0.2982747179827472
NVDA,2019-07-31,2579000000,1541000000,571000000,552000000,0.5975184179914695,0.22140364482357502,0.2140364482357503
NVDA,2019-04-30,2220000000,1296000000,358000000,394000000,0.5837837837837838,0.16126126126126125,0.17747747747747747
NVDA,2019-01-31,2205000000,1207000000,294000000,566000000,0.5473922902494331,0.13333333333333333,0.2566893424036281
NVDA,2018-10-31,3181000000,1921000000,1058000000,1230000000,0.6038981452373468,0.33259981138006917,0.3866708582206853
NVDA,2018-07-31,3123000000,1975000000,1157000000,1101000000,0.6324047390329811,0.37047710534742234,0.3525456292026897
NVDA,2018-04-30,3207000000,2068000000,1295000000,1244000000,0.6448394137823511,0.40380417835983784,0.38790146554412225
NVDA,2018-01-31,2911000000,1801000000,1073000000,1119000000,0.6186877361731363,0.3686018550326348,0.3844039848849193
NVDA,2017-10-31,2636000000,1569000000,895000000,838000000,0.5952200303490136,0.33952959028831564,0.3179059180576631
NVDA,2017-07-31,2230000000,1302000000,688000000,583000000,0.5838565022421525,0.30852017937219733,0.26143497757847534
