date,stock_return,market_return,expected_return,ar,rel_day,ticker,event_date_aligned,alpha,beta,surprise,car_0_t
2023-10-18,-0.04040484591449791,-0.013204638378490362,-0.020667258639409544,-0.019737587275088366,39,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.1939123551712955
2023-10-19,-0.002372480353630468,-0.00940092976419022,-0.013904663353977553,0.011532183000347085,40,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.1823801721709484
2023-10-20,-0.017008434927694733,-0.015030411827430295,-0.023913292489544477,0.006904857561849744,41,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.17547531460909865
2023-10-23,0.03769558545372336,0.00301307770995613,0.008166140940116902,0.029529444513606458,42,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.1459458700954922
2023-10-24,0.01569745990743354,0.009680897722966136,0.02002082613197594,-0.004323366224542401,43,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.15026923632003458
2023-10-25,-0.04401459499337797,-0.024780068205445545,-0.04124715976020531,-0.0027674352331726604,44,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.15303667155320727
2023-10-26,-0.035322147243143025,-0.01925149461196289,-0.031417935308602915,-0.0039042119345401097,45,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.15694088348774737
2023-10-27,0.004206365227216624,0.004789774708141032,0.011324922004048922,-0.007118556776832298,46,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.16405944026457966
2023-10-30,0.01616493685335536,0.011202292912859128,0.022725707336537476,-0.006560770483182116,47,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.1706202107477618
2023-10-31,-0.009275145819539607,0.0047710051687310144,0.011291551730036155,-0.020566697549575762,48,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.19118690829733753
2023-11-01,0.03730428938652316,0.017207755198665457,0.03340278990488925,0.003901499481633909,49,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.18728540881570363
2023-11-02,0.02749474219975638,0.017990639204629802,0.03479467562081145,-0.007299933421055067,50,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.1945853422367587
2023-11-03,0.03389389057225258,0.011680241766106153,0.023575450308303113,0.010318440263949468,51,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.18426690197280923
2023-11-06,0.016307104416688967,0.00407111666832112,0.01004722332501429,0.006259881091674677,52,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.17800702088113457
2023-11-07,0.004579661259024731,0.00940828067567139,0.019536141592305163,-0.014956480333280432,53,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.192963501214415
2023-11-08,0.013185104013730912,0.0006437567538729637,0.00395373658636455,0.009231367427366362,54,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.1837321337870486
2023-11-09,0.008126648659986099,-0.007725486599373519,-0.010925900994315731,0.01905254965430183,55,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.1646795841327468
2023-11-10,0.029176169621065073,0.022233265285892152,0.042337620163705826,-0.013161450542640753,56,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.17784103467538756
2023-11-13,0.005775593612640121,-0.0031232204701484023,-0.0027435541366220588,0.00851914774926218,57,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.16932188692612538
